
<!-- saved from url=(0034)http://fx.sauder.ubc.ca/cgi/fxdata -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><style type="text/css"></style></head><body><pre style="word-wrap: break-word; white-space: pre-wrap;">"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","XAU/USD","XAG/USD","XPT/USD","CAD/USD","EUR/USD","JPY/USD","GBP/USD","CHF/USD","AUD/USD","HKD/USD","NZD/USD","KRW/USD","MXN/USD"
2454103,"2007/01/02","Tue",,,,1.16490,0.75262,118.819,0.50670,1.21268,1.25650,7.7800,1.4117,925.26,10.7761
2454104,"2007/01/03","Wed",0.00155618,0.077459,0.00088028,1.16990,0.75933,119.598,0.51284,1.22644,1.26367,7.7869,1.4182,926.29,10.7626
2454105,"2007/01/04","Thu",0.00159058,0.079239,0.00088652,1.17670,0.76374,119.293,0.51436,1.23150,1.27252,7.7887,1.4329,931.67,10.8652
2454106,"2007/01/05","Fri",0.00164069,0.078740,0.00089286,1.17550,0.76900,118.785,0.51802,1.23659,1.28274,7.7911,1.4552,934.42,10.9655
2454109,"2007/01/08","Mon",0.00164069,0.081900,0.00089286,1.17770,0.76793,118.493,0.51592,1.23578,1.28011,7.7948,1.4536,938.41,10.9758
2454110,"2007/01/09","Tue",0.00164042,0.080906,0.00089047,1.17840,0.76959,119.452,0.51551,1.24186,1.28310,7.7977,1.4502,938.96,11.0234
2454111,"2007/01/10","Wed",0.00164365,0.080321,0.00087489,1.17720,0.77285,119.536,0.51722,1.24611,1.28768,7.7989,1.4549,938.01,11.0225
2454112,"2007/01/11","Thu",0.00163399,0.080580,0.00087489,1.17620,0.77499,120.500,0.51443,1.24836,1.27848,7.7979,1.4437,938.71,10.9618
2454113,"2007/01/12","Fri",0.00161355,0.080451,0.00087951,1.17020,0.77374,120.440,0.51103,1.24861,1.27793,7.7993,1.4463,939.92,10.9878
2454116,"2007/01/15","Mon",0.00159490,0.077610,,1.16810,0.77327,120.485,0.50907,1.24771,1.27620,7.7986,1.4398,938.23,10.9373
2454117,"2007/01/16","Tue",0.00159477,0.077882,,1.17460,0.77424,120.645,0.51005,1.24825,1.27758,7.8010,1.4393,935.19,10.9878
2454118,"2007/01/17","Wed",0.00159617,0.079681,,1.17370,0.77237,120.540,0.50709,1.24571,1.27134,7.8044,1.4474,936.71,10.9182
2454119,"2007/01/18","Thu",0.00157480,0.077882,,1.17520,0.77275,121.330,0.50732,1.25021,1.26884,7.8104,1.4400,936.41,10.9219
2454120,"2007/01/19","Fri",0.00158983,0.078616,,1.17200,0.77115,121.225,0.50609,1.24800,1.26703,7.8075,1.4380,936.10,10.8922
2454123,"2007/01/22","Mon",0.00156495,0.077730,,1.17590,0.77179,121.566,0.50579,1.24843,1.26700,7.7976,1.4298,939.97,10.9082
2454124,"2007/01/23","Tue",0.00155642,0.076394,,1.18160,0.76777,121.538,0.50388,1.24053,1.26253,7.8003,1.4243,940.02,10.9610
2454125,"2007/01/24","Wed",0.00155739,0.075758,,1.18240,0.77150,120.776,0.50832,1.24818,1.27938,7.8037,1.4360,936.18,10.9482
2454126,"2007/01/25","Thu",0.00153434,0.074738,,1.17830,0.77048,120.975,0.50749,1.24398,1.28621,7.8066,1.4291,935.90,10.9916
2454127,"2007/01/26","Fri",0.00154918,0.075643,,1.17980,0.77461,121.541,0.51027,1.25350,1.29477,7.8094,1.4388,940.83,11.0468
2454130,"2007/01/29","Mon",0.00155099,0.075472,,1.18160,0.77239,121.815,0.51045,1.25289,1.29448,7.8116,1.4343,940.76,11.0948
2454131,"2007/01/30","Tue",0.00154990,0.076046,,1.18140,0.77201,121.732,0.50980,1.25321,1.29483,7.8103,1.4515,942.86,11.0515
2454132,"2007/01/31","Wed",0.00153728,0.074850,,1.17920,0.76931,121.031,0.50997,1.24704,1.29213,7.8083,1.4590,941.85,11.0412
2454133,"2007/02/01","Thu",0.00151469,0.073638,,1.17550,0.76800,120.676,0.50799,1.24287,1.29119,7.8048,1.4675,936.65,10.9860
2454134,"2007/02/02","Fri",0.00154871,0.073206,,1.18380,0.77166,121.031,0.50855,1.24768,1.29095,7.8072,1.4713,937.29,11.0019
2454137,"2007/02/05","Mon",0.00153989,0.075245,,1.18180,0.77328,120.346,0.51021,1.24821,1.28723,7.8092,1.4630,935.71,10.9325
2454138,"2007/02/06","Tue",0.00153081,0.073206,,1.18200,0.77109,120.355,0.50780,1.24160,1.28730,7.8093,1.4711,932.91,10.9242
2454139,"2007/02/07","Wed",0.00152963,0.073260,,1.18520,0.76806,120.656,0.50765,1.23987,1.28450,7.8133,1.4598,933.23,10.9437
2454140,"2007/02/08","Thu",0.00152439,0.073910,,1.18530,0.76718,121.196,0.51058,1.24729,1.28016,7.8144,1.4570,934.78,10.9648
2454141,"2007/02/09","Fri",0.00150489,0.072254,,1.17390,0.76901,121.597,0.51266,1.24883,1.28787,7.8133,1.4630,934.63,10.9608
2454144,"2007/02/12","Mon",0.00150478,0.072569,,1.17460,0.77144,121.784,0.51353,1.25331,1.29433,7.8141,1.4591,937.43,11.0084
2454145,"2007/02/13","Tue",0.00149746,0.072516,,1.16860,0.76791,121.236,0.51433,1.24891,1.28644,7.8144,1.4519,939.39,10.9934
2454146,"2007/02/14","Wed",0.00149644,0.071633,,1.16600,0.76189,120.803,0.50953,1.23990,1.27655,7.8136,1.4400,938.81,10.9176
2454147,"2007/02/15","Thu",0.00150433,0.071531,,1.16390,0.76107,119.485,0.51205,1.23635,1.27467,7.8090,1.4412,934.86,10.9492
2454148,"2007/02/16","Fri",0.00150354,0.071942,,1.16370,0.76128,119.244,0.51287,1.23417,1.27097,7.8126,1.4337,936.20,10.9887
2454151,"2007/02/19","Mon",0.00149086,0.071276,,1.16390,0.76072,119.620,0.51280,1.23334,1.27189,7.8136,1.4251,936.36,10.9802
2454152,"2007/02/20","Tue",0.00150625,0.071942,,1.16980,0.76139,120.102,0.51157,1.23710,1.27374,7.8143,1.4278,938.09,10.9737
2454153,"2007/02/21","Wed",0.00151229,0.072780,,1.16120,0.76194,121.009,0.51224,1.23941,1.26616,7.8131,1.4163,938.72,10.9858
